,Market Price,Intrinsic Value (DCF),Valuation Gap (%)
ASTRAL.NS,1439.0,26028.612828639856,1708.7986677303584
DEEPAKNTR.NS,1535.5999755859375,23132.503045129142,1406.4146530936544
LTTS.NS,3870.0,60144.00460753243,1454.1086461894683
PERSISTENT.NS,6438.0,98331.42069736053,1427.3597498813378
TATAELXSI.NS,5563.0,104395.76187442502,1776.609057602463
