,Beta,Cost of Equity
ASTRAL.NS,0.8796289574483195,0.10804957836006798
DEEPAKNTR.NS,1.1177205075785444,0.11970192422409483
LTTS.NS,1.0740128339776882,0.11756284398613337
PERSISTENT.NS,1.098189870348027,0.1187460829108254
TATAELXSI.NS,0.836768962203655,0.10595198401852912
