,Market Price,Intrinsic Value,Valuation Gap (%),MCDM Rank,Optimized Weight,Recommendation
ASTRAL.NS,1439.0,26028.612828639856,1708.7986677303584,1,0.10349721340367746,BUY
DEEPAKNTR.NS,1535.5999755859375,23132.503045129142,1406.4146530936544,5,0.07535582971054586,HOLD
LTTS.NS,3870.0,60144.00460753243,1454.1086461894683,4,0.07391756773842971,HOLD
PERSISTENT.NS,6438.0,98331.42069736053,1427.3597498813378,3,0.7026188929914641,HOLD
TATAELXSI.NS,5563.0,104395.76187442502,1776.609057602463,2,0.044610496155882945,BUY
