Date,ASTRAL.NS,DEEPAKNTR.NS,LTTS.NS,PERSISTENT.NS,TATAELXSI.NS,NIFTY50
2021-01-20,945.209228515625,992.1649169921875,2519.9873046875,784.0775146484375,2660.490966796875,14644.7001953125
2021-01-21,946.2123413085938,995.9495849609375,2392.470947265625,766.9895629882812,2460.155029296875,14590.349609375
2021-01-22,925.6759033203125,984.005859375,2277.232421875,741.1177368164062,2448.940185546875,14371.900390625
2021-01-25,923.1401977539062,969.4571533203125,2226.652099609375,738.7176513671875,2365.808837890625,14238.900390625
2021-01-27,923.97607421875,950.091552734375,2343.360595703125,726.6456298828125,2537.41650390625,13967.5
2021-01-28,943.6210327148438,956.4812622070312,2295.388427734375,719.6378173828125,2472.753662109375,13817.5498046875
2021-01-29,956.7732543945312,955.0557861328125,2307.5234375,731.6376953125,2568.006591796875,13634.599609375
2021-02-01,960.31201171875,973.635009765625,2347.626953125,742.3895874023438,2815.396240234375,14281.2001953125
2021-02-02,1002.973388671875,964.8860473632812,2417.216064453125,754.5816650390625,2730.8330078125,14647.849609375
2021-02-03,1083.7821044921875,1031.977294921875,2432.669189453125,795.573486328125,2745.244873046875,14789.9501953125
2021-02-04,1149.208740234375,1008.8272705078125,2482.91748046875,813.1654052734375,2699.2412109375,14895.650390625
2021-02-05,1115.60400390625,995.4580688476562,2586.021484375,816.2373657226562,2689.36279296875,14924.25
2021-02-08,1152.8594970703125,1010.9898071289062,2560.328369140625,851.8772583007812,2712.41259765625,15115.7998046875
2021-02-09,1131.263916015625,1020.6234741210938,2530.131591796875,826.2593994140625,2741.18896484375,15109.2998046875
2021-02-10,1130.818115234375,1053.161376953125,2485.998779296875,857.5863647460938,2694.66015625,15106.5
2021-02-11,1134.0504150390625,1110.275146484375,2446.6533203125,852.264404296875,2705.826904296875,15173.2998046875
2021-02-12,1124.9664306640625,1091.79443359375,2464.904052734375,868.2786865234375,2707.544921875,15163.2998046875
2021-02-15,1128.0594482421875,1158.7872314453125,2452.2001953125,864.8436279296875,2728.494873046875,15314.7001953125
2021-02-16,1122.3472900390625,1252.1744384765625,2522.168212890625,841.3059692382812,2754.646484375,15313.4501953125
2021-02-17,1147.2305908203125,1278.9617919921875,2528.615478515625,827.0092163085938,2686.0703125,15208.900390625
2021-02-18,1153.4166259765625,1291.4462890625,2520.60400390625,817.28466796875,2622.838623046875,15118.9501953125
2021-02-19,1131.9049072265625,1258.318359375,2505.814208984375,809.0354614257812,2615.728271484375,14981.75
2021-02-22,1155.5902099609375,1244.310302734375,2404.937744140625,799.8187866210938,2545.29052734375,14675.7001953125
2021-02-23,1151.9398193359375,1264.708251953125,2332.6005859375,799.1414794921875,2592.869140625,14707.7998046875
2021-02-24,1170.1353759765625,1296.26318359375,2365.498291015625,804.3424682617188,2572.157958984375,14982.0
2021-02-25,1179.6656494140625,1372.2015380859375,2484.766357421875,795.4402465820312,2556.409912109375,15097.349609375
2021-02-26,1185.76806640625,1345.414306640625,2434.376220703125,801.4637451171875,2536.74853515625,14529.150390625
2021-03-01,1224.3331298828125,1537.2020263671875,2444.189208984375,816.2686157226562,2502.67529296875,14761.5498046875
2021-03-02,1223.4971923828125,1580.55322265625,2588.0595703125,826.5496215820312,2468.267578125,14919.099609375
2021-03-03,1229.0145263671875,1574.949951171875,2571.515380859375,818.3973388671875,2446.12451171875,15245.599609375
2021-03-04,1234.6151123046875,1585.026123046875,2549.1884765625,817.719970703125,2554.978271484375,15080.75
2021-03-05,1234.0023193359375,1554.945556640625,2486.472900390625,814.6719360351562,2593.251220703125,14938.099609375
2021-03-08,1289.5650634765625,1539.856201171875,2574.264404296875,822.9451293945312,2588.860595703125,14956.2001953125
2021-03-09,1308.84765625,1511.15185546875,2598.01416015625,826.3076782226562,2533.3603515625,15098.400390625
2021-03-10,1394.142578125,1572.1484375,2616.643798828125,867.5770874023438,2573.68505859375,15174.7998046875
2021-03-12,1395.06201171875,1547.228759765625,2599.388916015625,862.4727783203125,2603.129150390625,15030.9501953125
2021-03-15,1416.2672119140625,1526.781982421875,2592.70458984375,856.3284301757812,2592.67822265625,14929.5
2021-03-16,1378.3709716796875,1544.2305908203125,2636.506591796875,915.3296508789062,2645.17236328125,14910.4501953125
2021-03-17,1368.4510498046875,1497.5369873046875,2454.99658203125,883.7123413085938,2631.3330078125,14721.2998046875
2021-03-18,1275.2515869140625,1459.14990234375,2416.647216796875,894.4047241210938,2552.83056640625,14557.849609375
2021-03-19,1241.8505859375,1488.935546875,2457.79345703125,939.6655883789062,2638.682373046875,14744.0
2021-03-22,1267.2635498046875,1504.5164794921875,2461.538330078125,950.0676879882812,2598.6435546875,14736.400390625
2021-03-23,1239.101318359375,1553.37255859375,2437.647216796875,936.424072265625,2608.283447265625,14814.75
2021-03-24,1170.590576171875,1512.3804931640625,2368.86376953125,916.4907836914062,2546.5791015625,14549.400390625
2021-03-25,1126.7867431640625,1508.1044921875,2363.12841796875,873.092529296875,2484.827392578125,14324.900390625
2021-03-26,1197.7496337890625,1534.4986572265625,2416.315185546875,881.3417358398438,2529.44677734375,14507.2998046875
2021-03-30,1182.7025146484375,1598.4932861328125,2503.538330078125,930.1828002929688,2566.097412109375,14845.099609375
2021-03-31,1201.4278564453125,1628.37744140625,2516.099853515625,929.9166870117188,2570.201416015625,14690.7001953125
2021-04-01,1252.3277587890625,1618.79296875,2579.337158203125,945.0117797851562,2645.697265625,14867.349609375
2021-04-05,1216.103271484375,1589.6954345703125,2616.69140625,947.6968383789062,2725.679443359375,14637.7998046875
